onset_qL,measure,label,root_pc,size
1.5,12,G (Perfect Octave),7,1
2.0,12,C# (Perfect Octave),1,1
2.5,12,D (Perfect Octave),2,1
0.0,13,E (Perfect Octave),4,1
0.5,13,G (Perfect Octave),7,1
1.0,13,G (Perfect Octave),7,1
2.5,13,A (Perfect Octave),9,1
0.0,14,B- (Perfect Octave),10,1
1.0,14,B- (Perfect Octave),10,1
0.0,15,B- (Perfect Octave),10,1
1.0,15,A (Perfect Octave),9,1
2.5,15,E (Perfect Octave),4,1
0.0,16,G (Perfect Octave),7,1
1.0,16,F (Perfect Octave),5,1
2.0,16,D (multiple octaves),2,1
2.25,16,D (multiple octaves),2,1
2.5,16,D (multiple octaves),2,1
2.75,16,D (multiple octaves),2,1
0.0,17,D (multiple octaves),2,1
0.25,17,D (multiple octaves),2,1
0.5,17,D (multiple octaves),2,1
0.75,17,D (multiple octaves),2,1
1.0,17,D (multiple octaves),2,1
1.25,17,D (multiple octaves),2,1
1.5,17,D (multiple octaves),2,1
1.75,17,D (multiple octaves),2,1
2.0,17,D (flat-ninth pentachord),2,5
2.25,17,D (flat-ninth pentachord),2,5
2.5,17,D (flat-ninth pentachord),2,5
2.75,17,D (flat-ninth pentachord),2,5
0.0,18,D (flat-ninth pentachord),2,5
0.25,18,D (flat-ninth pentachord),2,5
0.5,18,D (flat-ninth pentachord),2,5
0.75,18,D (flat-ninth pentachord),2,5
1.0,18,D (flat-ninth pentachord),2,5
1.25,18,D (flat-ninth pentachord),2,5
1.5,18,D (flat-ninth pentachord),2,5
1.75,18,D (flat-ninth pentachord),2,5
2.0,18,D (flat-ninth pentachord),2,5
2.25,18,D (flat-ninth pentachord),2,5
2.5,18,D (flat-ninth pentachord),2,5
2.75,18,D (flat-ninth pentachord),2,5
0.0,19,D (flat-ninth pentachord),2,5
0.25,19,D (flat-ninth pentachord),2,5
0.5,19,D (flat-ninth pentachord),2,5
0.75,19,D (flat-ninth pentachord),2,5
1.0,19,D (flat-ninth pentachord),2,5
1.25,19,D (flat-ninth pentachord),2,5
1.5,19,D (flat-ninth pentachord),2,5
1.75,19,D (flat-ninth pentachord),2,5
2.0,19,D (flat-ninth pentachord),2,5
2.25,19,D (flat-ninth pentachord),2,5
2.5,19,D (flat-ninth pentachord),2,5
2.75,19,D (flat-ninth pentachord),2,5
0.0,20,D (flat-ninth pentachord),2,5
0.25,20,D (flat-ninth pentachord),2,5
0.5,20,D (flat-ninth pentachord),2,5
0.75,20,D (flat-ninth pentachord),2,5
1.0,20,D (flat-ninth pentachord),2,5
1.25,20,D (flat-ninth pentachord),2,5
1.5,20,D (flat-ninth pentachord),2,5
1.75,20,D (flat-ninth pentachord),2,5
2.0,20,D (flat-ninth pentachord),2,5
2.25,20,D (flat-ninth pentachord),2,5
2.5,20,D (flat-ninth pentachord),2,5
2.75,20,D (flat-ninth pentachord),2,5
0.0,21,D (flat-ninth pentachord),2,5
0.25,21,D (flat-ninth pentachord),2,5
0.5,21,D (Minor Sixth with octave doublings),2,2
0.75,21,D (Major Third with octave doublings),2,2
1.0,21,D (Minor Sixth with octave doublings),2,2
1.25,21,D (Major Third with octave doublings),2,2
1.5,21,D (Perfect Fourth with octave doublings),2,2
1.75,21,D (Perfect Fifth with octave doublings),2,2
2.0,21,D (Perfect Fourth with octave doublings),2,2
2.25,21,D (Perfect Fifth with octave doublings),2,2
2.5,21,D (incomplete dominant-seventh chord),2,3
2.75,21,D (Major Third),2,2
0.0,22,D (incomplete dominant-seventh chord),2,3
0.25,22,D (incomplete dominant-seventh chord),2,3
0.5,22,D (flat-ninth pentachord),2,5
0.75,22,D (Minor Seventh with octave doublings),2,2
1.0,22,D (flat-ninth pentachord),2,5
1.25,22,D (Minor Seventh),2,2
1.5,22,G (minor triad),7,3
1.75,22,D (note),2,1
2.0,22,G (minor triad),7,3
2.25,22,D (note),2,1
2.5,22,D (incomplete dominant-seventh chord),2,3
2.75,22,D (note),2,1
0.0,23,D (incomplete dominant-seventh chord),2,3
0.25,23,D (Minor Fourteenth),2,2
0.5,23,G (perfect-fourth minor tetrachord),7,4
0.75,23,D (Minor Fourteenth),2,2
1.0,23,G (minor triad),7,3
1.25,23,D (note),2,1
1.5,23,F# (diminished seventh chord),6,4
1.75,23,A (note),9,1
2.0,23,F# (diminished seventh chord),6,4
2.25,23,A (multiple octaves),9,1
2.5,23,F# (diminished seventh chord),6,4
2.75,23,A (multiple octaves),9,1
0.0,24,F# (diminished seventh chord),6,4
0.5,24,F# (diminished seventh chord),6,4
1.0,24,A (Perfect Octave),9,1
2.5,24,F (dominant seventh chord),5,4
0.0,25,F (dominant seventh chord),5,4
1.5,25,F (Perfect Octave),5,1
2.0,25,C (Perfect Octave),0,1
2.5,25,C (Perfect Octave),0,1
0.0,26,E- (Perfect Octave),3,1
1.5,26,E- (Perfect Octave),3,1
2.0,26,C (Perfect Octave),0,1
2.5,26,B- (Perfect Octave),10,1
0.0,27,B- (Perfect Octave),10,1
0.5,27,A (Perfect Octave),9,1
1.0,27,A (Perfect Octave),9,1
1.5,27,A (Perfect Octave),9,1
2.0,27,B- (Perfect Octave),10,1
2.5,27,C (Perfect Octave),0,1
0.0,28,C (Perfect Octave),0,1
0.5,28,F (Perfect Octave),5,1
1.5,28,E- (Perfect Octave),3,1
2.0,28,E- (Perfect Octave),3,1
2.5,28,D (Perfect Octave),2,1
0.0,29,C (Perfect Octave),0,1
0.5,29,B- (Perfect Octave),10,1
1.0,29,B- (major triad),10,3
2.0,29,G (minor triad),7,3
0.0,30,A (major triad),9,3
0.3333333333333333,30,A (major triad),9,3
0.6666666666666666,30,A (major triad),9,3
1.0,30,A (major triad),9,3
1.3333333333333333,30,A (major triad),9,3
1.6666666666666667,30,A (major triad),9,3
0.0,31,A (major triad),9,3
0.3333333333333333,31,A (major triad),9,3
0.6666666666666666,31,A (major triad),9,3
1.0,31,A (major triad),9,3
1.3333333333333333,31,A (major triad),9,3
1.6666666666666667,31,A (major triad),9,3
1.75,31,A (major triad),9,3
0.0,32,A (major triad),9,3
0.3333333333333333,32,A (major triad),9,3
0.6666666666666666,32,A (major triad),9,3
1.0,32,A (major triad),9,3
1.3333333333333333,32,A (major triad),9,3
1.6666666666666667,32,A (major triad),9,3
1.75,32,A (major triad),9,3
0.0,33,A (major triad),9,3
0.3333333333333333,33,A (major triad),9,3
0.6666666666666666,33,A (major triad),9,3
1.0,33,A (major triad),9,3
1.3333333333333333,33,A (major triad),9,3
1.6666666666666667,33,A (major triad),9,3
1.75,33,A (major triad),9,3
0.0,34,A (major triad),9,3
0.3333333333333333,34,A (major triad),9,3
0.5,34,A (major triad),9,3
0.6666666666666666,34,A (major triad),9,3
1.0,34,A (major triad),9,3
1.3333333333333333,34,A (major triad),9,3
1.6666666666666667,34,A (major triad),9,3
0.0,35,A (major triad),9,3
0.3333333333333333,35,A (major triad),9,3
0.6666666666666666,35,A (major triad),9,3
1.0,35,A (major triad),9,3
1.3333333333333333,35,A (major triad),9,3
1.6666666666666667,35,A (major triad),9,3
1.75,35,A (major triad),9,3
0.0,36,A (major triad),9,3
0.3333333333333333,36,A (major triad),9,3
0.6666666666666666,36,A (major triad),9,3
1.0,36,A (major triad),9,3
1.3333333333333333,36,A (major triad),9,3
1.6666666666666667,36,A (major triad),9,3
1.75,36,A (major triad),9,3
0.0,37,A (major triad),9,3
0.3333333333333333,37,A (major triad),9,3
0.6666666666666666,37,A (major triad),9,3
1.0,37,A (major triad),9,3
1.3333333333333333,37,A (major triad),9,3
1.6666666666666667,37,A (major triad),9,3
1.75,37,A (major triad),9,3
0.0,38,F# (diminished seventh chord),6,4
0.5,38,F# (diminished seventh chord),6,4
1.0,38,E- (Perfect Octave),3,1
0.0,39,E- (Perfect Octave),3,1
1.5,39,E- (Perfect Octave),3,1
2.0,39,E- (Perfect Octave),3,1
2.5,39,C (Perfect Octave),0,1
0.0,40,B- (Perfect Octave),10,1
0.5,40,A (Perfect Octave),9,1
1.0,40,C (Perfect Octave),0,1
1.5,40,F# (Perfect Octave),6,1
2.0,40,G (Perfect Octave),7,1
2.5,40,A (Perfect Octave),9,1
0.0,41,A (Perfect Octave),9,1
0.5,41,C (Perfect Octave),0,1
1.0,41,D (Perfect Octave),2,1
1.5,41,E- (Perfect Octave),3,1
2.5,41,D (Perfect Octave),2,1
0.0,42,D (Perfect Octave),2,1
1.5,42,C (Perfect Octave),0,1
2.0,42,C (Perfect Octave),0,1
2.5,42,B (Perfect Octave),11,1
0.0,43,B (Perfect Octave),11,1
0.5,43,F (Perfect Octave),5,1
1.0,43,F (Perfect Octave),5,1
1.5,43,E (Perfect Octave),4,1
2.5,43,D (Perfect Octave),2,1
0.0,44,D (Perfect Octave),2,1
0.5,44,B (Perfect Octave),11,1
1.0,44,B (Perfect Octave),11,1
1.25,44,B (Perfect Octave),11,1
1.3333333333333333,44,B (Perfect Octave),11,1
1.5,44,B (Perfect Octave),11,1
1.6666666666666667,44,B (Perfect Octave),11,1
1.75,44,B (Perfect Octave),11,1
2.0,44,B (Perfect Octave),11,1
2.25,44,B (Perfect Octave),11,1
2.3333333333333335,44,B (Perfect Octave),11,1
2.5,44,C (Perfect Octave),0,1
2.6666666666666665,44,C (Perfect Octave),0,1
2.75,44,C (Perfect Octave),0,1
0.0,45,D (Perfect Octave),2,1
0.0,46,C (Perfect Octave),0,1
2.0,46,B (Perfect Octave),11,1
0.0,47,D (Perfect Octave),2,1
1.0,47,C (Perfect Octave),0,1
0.0,48,E (major triad),4,3
0.75,48,E (multiple octaves),4,1
1.0,48,A (minor triad),9,3
1.25,48,A (Minor Third),9,2
1.5,48,A (minor triad),9,3
2.0,48,E (incomplete dominant-seventh chord),4,3
0.0,49,A (minor triad),9,3
0.75,49,A (Perfect Octave),9,1
1.0,49,B (Minor Third with octave doublings),11,2
2.0,49,A (Minor Third with octave doublings),9,2
0.0,50,E (dominant seventh chord),4,4
0.75,50,E (multiple octaves),4,1
1.0,50,A (minor triad),9,3
1.25,50,A (Minor Third with octave doublings),9,2
1.5,50,A (minor triad),9,3
2.0,50,E (dominant seventh chord),4,4
0.0,51,A (Minor Third with octave doublings),9,2
0.75,51,A (Minor Third with octave doublings),9,2
1.0,51,G# (Major Sixth with octave doublings),8,2
2.0,51,A (Major Sixth),9,2
0.0,52,C (incomplete dominant-seventh chord),0,3
0.75,52,C (multiple octaves),0,1
1.0,52,F (major triad),5,3
1.25,52,F (Major Third with octave doublings),5,2
1.5,52,F (major triad),5,3
2.0,52,C (major triad),0,3
0.0,53,F (Major Third with octave doublings),5,2
0.75,53,F (Perfect Octave),5,1
1.0,53,G (incomplete minor-seventh chord),7,3
2.0,53,F (major triad),5,3
0.0,54,C (major triad),0,3
0.75,54,C (multiple octaves),0,1
1.0,54,F (major triad),5,3
1.25,54,F (Minor Sixth with octave doublings),5,2
1.5,54,F (major triad),5,3
2.0,54,C (incomplete dominant-seventh chord),0,3
0.0,55,F (major triad),5,3
0.75,55,F (Perfect Fifth with octave doublings),5,2
1.0,55,E (diminished triad),4,3
2.0,55,F (Major Third with octave doublings),5,2
0.0,56,F (Perfect Octave),5,1
1.0,56,C (Perfect Octave),0,1
1.0,57,C (Perfect Octave),0,1
2.0,57,B- (Perfect Octave),10,1
2.5,57,C (Perfect Octave),0,1
0.0,58,B- (Perfect Octave),10,1
0.5,58,A (Perfect Octave),9,1
1.0,58,A (Perfect Octave),9,1
2.0,58,F (Perfect Octave),5,1
0.0,59,F (Perfect Octave),5,1
1.5,59,F (Perfect Octave),5,1
2.0,59,F (Perfect Octave),5,1
2.5,59,G (Perfect Octave),7,1
0.0,60,B- (Perfect Octave),10,1
0.5,60,A (Perfect Octave),9,1
1.5,60,A (Perfect Octave),9,1
2.0,60,A (Perfect Octave),9,1
2.5,60,B- (Perfect Octave),10,1
0.0,61,D (Perfect Octave),2,1
0.5,61,C (Perfect Octave),0,1
1.0,61,C (Perfect Octave),0,1
1.5,61,C (Perfect Octave),0,1
2.0,61,C (Perfect Octave),0,1
2.5,61,D (Perfect Octave),2,1
0.0,62,E- (Perfect Octave),3,1
0.5,62,E- (Perfect Octave),3,1
0.0,63,B- (major triad),10,3
1.0,63,B- (major triad),10,3
2.0,63,F (dominant seventh chord),5,4
3.0,63,F (dominant seventh chord),5,4
0.0,64,B- (major triad),10,3
1.0,64,B- (major triad),10,3
1.5,64,B- (major triad),10,3
2.0,64,F (major triad),5,3
3.0,64,F (major triad),5,3
3.5,64,F (dominant seventh chord),5,4
0.0,65,B- (major triad),10,3
1.0,65,B- (Perfect Octave),10,1
0.0,66,B- (Perfect Octave),10,1
2.0,66,B (Perfect Octave),11,1
0.0,67,B (Perfect Octave),11,1
2.0,67,G# (Perfect Octave),8,1
0.0,68,F# (Perfect Octave),6,1
2.0,68,F (Perfect Octave),5,1
0.0,69,C# (incomplete dominant-seventh chord),1,3
2.0,69,G# (enharmonic to dominant seventh chord),8,4
0.0,70,C# (incomplete dominant-seventh chord),1,3
2.0,70,C# (incomplete dominant-seventh chord),1,3
0.0,71,F# (minor triad),6,3
1.0,71,F# (minor triad),6,3
2.0,71,F# (minor triad),6,3
2.5,71,F# (minor triad),6,3
0.0,72,F# (minor triad),6,3
1.0,72,C (enharmonic to dominant seventh chord),0,4
1.25,72,E- (incomplete dominant-seventh chord),3,3
1.5,72,E- (incomplete dominant-seventh chord),3,3
1.75,72,E- (incomplete dominant-seventh chord),3,3
2.0,72,E- (Perfect Octave),3,1
2.5,72,C# (Perfect Octave),1,1
0.0,73,C# (Perfect Octave),1,1
0.5,73,C (Perfect Octave),0,1
1.0,73,C (Perfect Octave),0,1
1.5,73,E- (Perfect Octave),3,1
2.0,73,E- (Perfect Octave),3,1
2.5,73,E (Perfect Octave),4,1
0.0,74,F# (Perfect Octave),6,1
1.5,74,E- (Perfect Octave),3,1
2.0,74,C (Perfect Octave),0,1
2.5,74,C# (Perfect Octave),1,1
0.0,75,C# (Perfect Octave),1,1
1.0,75,G# (Perfect Octave),8,1
2.0,75,C# (minor triad),1,3
0.0,76,E (major triad),4,3
1.0,76,E (major triad),4,3
2.0,76,E (dominant seventh chord),4,4
0.0,77,A (major triad),9,3
1.0,77,A (major triad),9,3
2.0,77,D (major triad),2,3
3.0,77,A (incomplete dominant-seventh chord),9,3
0.0,78,A (incomplete dominant-seventh chord),9,3
1.0,78,D (major triad),2,3
2.0,78,A (major triad),9,3
3.0,78,B (incomplete minor-seventh chord),11,3
0.0,79,A (major triad),9,3
1.0,79,A (major triad),9,3
2.0,79,D (major triad),2,3
3.0,79,A (incomplete dominant-seventh chord),9,3
0.0,80,A (incomplete dominant-seventh chord),9,3
1.0,80,D (major triad),2,3
2.0,80,A (dominant seventh chord),9,4
3.0,80,D (major triad),2,3
0.0,81,A (dominant seventh chord),9,4
1.0,81,A (dominant seventh chord),9,4
2.0,81,D (Perfect Octave),2,1
2.5,81,E (Perfect Octave),4,1
0.0,82,D (Perfect Octave),2,1
0.5,82,C# (Perfect Octave),1,1
1.0,82,A (dominant seventh chord),9,4
2.5,82,E (Perfect Octave),4,1
0.0,83,E (Perfect Octave),4,1
1.0,83,A (dominant seventh chord),9,4
1.75,83,A (Major Second with octave doublings),9,2
2.0,83,G (Perfect Octave),7,1
2.5,83,A (Perfect Octave),9,1
0.0,84,G (Perfect Octave),7,1
1.0,84,D (major triad),2,3
1.5,84,D (major triad),2,3
1.75,84,D (Minor Sixth with octave doublings),2,2
2.0,84,D (Perfect Fourth with octave doublings),2,2
2.5,84,D (Perfect Fourth with octave doublings),2,2
2.75,84,D (multiple octaves),2,1
0.0,85,D (multiple octaves),2,1
1.0,85,D (Perfect Octave),2,1
1.5,85,E (Perfect Octave),4,1
2.0,85,F# (Perfect Octave),6,1
2.5,85,E (Perfect Octave),4,1
0.0,86,E (Perfect Octave),4,1
0.5,86,D (Perfect Octave),2,1
1.0,86,D (Perfect Octave),2,1
1.5,86,C# (Perfect Octave),1,1
2.0,86,D (Perfect Octave),2,1
2.5,86,A (Perfect Octave),9,1
0.0,87,G (Perfect Octave),7,1
0.5,87,F# (Perfect Octave),6,1
1.0,87,F# (Perfect Octave),6,1
1.5,87,E (Perfect Octave),4,1
2.0,87,D (Perfect Octave),2,1
2.5,87,C (Perfect Octave),0,1
0.0,88,C (Perfect Octave),0,1
0.5,88,B (Perfect Octave),11,1
1.0,88,G (major triad),7,3
1.25,88,G (major triad),7,3
2.0,88,G (major triad),7,3
2.5,88,G (Perfect Octave),7,1
0.0,89,G (Perfect Octave),7,1
1.5,89,E (Perfect Octave),4,1
2.0,89,C# (Perfect Octave),1,1
2.5,89,D (Perfect Octave),2,1
0.0,90,D (Perfect Octave),2,1
1.0,90,A (Perfect Octave),9,1
0.0,91,A (major triad),9,3
2.0,91,D (Major Third with octave doublings),2,2
0.0,92,F# (Perfect Octave),6,1
2.0,92,G (Perfect Octave),7,1
3.0,92,A (Perfect Octave),9,1
0.0,93,A (Perfect Octave),9,1
1.0,93,G (Perfect Octave),7,1
2.0,93,F# (Perfect Octave),6,1
3.0,93,E (Perfect Octave),4,1
0.0,94,D (Perfect Octave),2,1
2.0,94,E (Perfect Octave),4,1
3.0,94,F# (Perfect Octave),6,1
0.0,95,F# (Perfect Octave),6,1
1.5,95,E (Perfect Octave),4,1
2.0,95,E (Perfect Octave),4,1
0.0,96,F# (Perfect Octave),6,1
2.0,96,G (Perfect Octave),7,1
3.0,96,A (Perfect Octave),9,1
0.0,97,A (Perfect Octave),9,1
1.0,97,G (Perfect Octave),7,1
2.0,97,F# (Perfect Octave),6,1
3.0,97,E (Perfect Octave),4,1
0.0,98,D (Perfect Octave),2,1
2.0,98,E (Perfect Octave),4,1
3.0,98,F# (Perfect Octave),6,1
0.0,99,E (Perfect Octave),4,1
1.5,99,D (Perfect Octave),2,1
2.0,99,D (Perfect Octave),2,1
0.0,100,E (Perfect Octave),4,1
2.0,100,F# (Perfect Octave),6,1
3.0,100,D (Perfect Octave),2,1
0.0,101,E (Perfect Octave),4,1
1.0,101,F# (Perfect Octave),6,1
1.5,101,G (Perfect Octave),7,1
2.0,101,F# (Perfect Octave),6,1
3.0,101,D (Perfect Octave),2,1
0.0,102,E (Perfect Octave),4,1
1.0,102,F# (Perfect Octave),6,1
1.5,102,G (Perfect Octave),7,1
2.0,102,F# (Perfect Octave),6,1
3.0,102,E (Perfect Octave),4,1
0.0,103,D (Perfect Octave),2,1
1.0,103,E (Perfect Octave),4,1
2.0,103,A (Perfect Octave),9,1
3.0,103,F# (Perfect Octave),6,1
0.0,104,F# (Perfect Octave),6,1
1.0,104,F# (Perfect Octave),6,1
2.0,104,G (Perfect Octave),7,1
3.0,104,A (Perfect Octave),9,1
0.0,105,A (Perfect Octave),9,1
1.0,105,G (Perfect Octave),7,1
2.0,105,F# (Perfect Octave),6,1
3.0,105,E (Perfect Octave),4,1
0.0,106,D (Perfect Octave),2,1
2.0,106,E (Perfect Octave),4,1
3.0,106,F# (Perfect Octave),6,1
0.0,107,E (Perfect Octave),4,1
1.5,107,D (Perfect Octave),2,1
2.0,107,D (Perfect Octave),2,1
0.0,108,E (Perfect Octave),4,1
2.0,108,F# (Perfect Octave),6,1
3.0,108,D (Perfect Octave),2,1
0.0,109,E (Perfect Octave),4,1
1.0,109,F# (Perfect Octave),6,1
1.5,109,G (Perfect Octave),7,1
2.0,109,F# (Perfect Octave),6,1
3.0,109,D (Perfect Octave),2,1
0.0,110,E (Perfect Octave),4,1
1.0,110,F# (Perfect Octave),6,1
1.5,110,G (Perfect Octave),7,1
2.0,110,F# (Perfect Octave),6,1
3.0,110,E (Perfect Octave),4,1
0.0,111,D (Perfect Octave),2,1
1.0,111,E (Perfect Octave),4,1
2.0,111,A (Perfect Octave),9,1
3.0,111,F# (Perfect Octave),6,1
0.0,112,F# (Perfect Octave),6,1
1.0,112,F# (Perfect Octave),6,1
2.0,112,G (Perfect Octave),7,1
3.0,112,A (Perfect Octave),9,1
0.0,113,A (Perfect Octave),9,1
1.0,113,G (Perfect Octave),7,1
2.0,113,F# (Perfect Octave),6,1
3.0,113,E (Perfect Octave),4,1
0.0,114,D (Perfect Octave),2,1
2.0,114,E (Perfect Octave),4,1
3.0,114,F# (Perfect Octave),6,1
0.0,115,E (Perfect Octave),4,1
1.5,115,D (Perfect Octave),2,1
2.0,115,D (Perfect Octave),2,1
3.0,115,A (Perfect Octave),9,1
0.0,116,F# (Major Thirteenth),6,2
2.0,116,G (Perfect Eighteenth),7,2
3.0,116,D (major triad),2,3
0.0,117,B (incomplete minor-seventh chord),11,3
1.0,117,G (major triad),7,3
1.5,117,C# (diminished triad),1,3
2.0,117,D (Major Seventeenth),2,2
3.0,117,E (minor triad),4,3
0.0,118,G (major triad),7,3
1.0,118,D (major triad),2,3
2.0,118,E (Minor Third with octave doublings),4,2
3.0,118,D (Major Third with octave doublings),2,2
0.0,119,D (Major Third with octave doublings),2,2
1.0,119,A (major triad),9,3
2.0,119,E (incomplete dominant-seventh chord),4,3
3.0,119,A (major triad),9,3
0.0,120,F# (Major Thirteenth),6,2
1.0,120,D (major triad),2,3
2.0,120,G (Perfect Fourth with octave doublings),7,2
3.0,120,D (quartal trichord),2,3
3.5,120,D (major triad),2,3
0.0,121,B (incomplete minor-seventh chord),11,3
1.0,121,G (major triad),7,3
1.5,121,C# (diminished triad),1,3
2.0,121,D (Major Seventeenth),2,2
3.0,121,E (minor triad),4,3
0.0,122,G (major triad),7,3
1.0,122,D (major triad),2,3
1.5,122,E (incomplete minor-seventh chord),4,3
2.0,122,D (whole-tone trichord),2,3
2.5,122,C# (Minor Seventeenth),1,2
3.0,122,B (minor triad),11,3
3.5,122,F# (minor triad),6,3
0.0,123,E (minor triad),4,3
1.0,123,A (major triad),9,3
1.5,123,D (incomplete major-seventh chord),2,3
2.0,123,D (Minor Twentieth),2,2
3.0,123,D (Minor Thirteenth),2,2
0.0,124,E (Major Thirteenth),4,2
2.0,124,F# (Major Thirteenth),6,2
3.0,124,B (Minor Tenth),11,2
0.0,125,A (major triad),9,3
1.0,125,F# (minor triad),6,3
1.5,125,A (incomplete dominant-seventh chord),9,3
2.0,125,D (major triad),2,3
3.0,125,E (incomplete minor-seventh chord),4,3
3.5,125,D (major triad),2,3
0.0,126,E (minor triad),4,3
1.0,126,G (incomplete major-seventh chord),7,3
1.5,126,G (Major Third with octave doublings),7,2
2.0,126,F# (minor triad),6,3
3.0,126,C# (enharmonic equivalent to diminished triad),1,3
0.0,127,B (Minor Tenth),11,2
1.0,127,C# (Minor Tenth),1,2
2.0,127,A (major triad),9,3
3.0,127,D (Major Third with octave doublings),2,2
0.0,128,D (major triad),2,3
0.5,128,F# (Major Sixth with octave doublings),6,2
1.0,128,D (major triad),2,3
2.0,128,C (quartal trichord),0,3
2.5,128,C (major triad),0,3
3.0,128,F# (diminished triad),6,3
0.0,129,B (incomplete dominant-seventh chord),11,3
0.5,129,B (incomplete minor-seventh chord),11,3
1.0,129,E (minor triad),4,3
1.5,129,C# (diminished triad),1,3
2.0,129,D (Major Seventeenth),2,2
3.0,129,E (minor triad),4,3
0.0,130,G (major triad),7,3
1.0,130,D (major triad),2,3
1.5,130,E (incomplete minor-seventh chord),4,3
2.0,130,D (whole-tone trichord),2,3
2.5,130,C# (Minor Seventeenth),1,2
3.0,130,B (minor triad),11,3
3.5,130,F# (minor triad),6,3
0.0,131,E (minor triad),4,3
1.0,131,A (major triad),9,3
1.5,131,D (incomplete major-seventh chord),2,3
2.0,131,D (Minor Twentieth),2,2
3.0,131,D (Minor Thirteenth),2,2
0.0,132,E (Major Thirteenth),4,2
2.0,132,F# (Major Thirteenth),6,2
3.0,132,B (Minor Tenth),11,2
0.0,133,A (major triad),9,3
1.0,133,F# (minor triad),6,3
1.5,133,A (incomplete dominant-seventh chord),9,3
2.0,133,D (major triad),2,3
2.5,133,D (Major Third with octave doublings),2,2
3.0,133,E (incomplete minor-seventh chord),4,3
3.5,133,D (major triad),2,3
